"pop" "depth" "cell.type" "cell.type.idx" "cell_type"
"cell1" "2_1" 1 "2_1_2" 2 "1"
"cell2" "2_1" 0.998998998998999 "2_1_2" 2 "1"
"cell3" "2_1" 0.997997997997998 "2_1_2" 2 "1"
"cell4" "2_1" 0.996996996996997 "2_1_2" 2 "1"
"cell5" "2_1" 0.995995995995996 "2_1_2" 2 "1"
"cell6" "2_1" 0.994994994994995 "2_1_2" 2 "1"
"cell7" "2_1" 0.993993993993994 "2_1_2" 2 "1"
"cell8" "2_1" 0.992992992992993 "2_1_2" 2 "1"
"cell9" "2_1" 0.991991991991992 "2_1_2" 2 "1"
"cell10" "2_1" 0.990990990990991 "2_1_2" 2 "1"
"cell11" "2_1" 0.98998998998999 "2_1_2" 2 "1"
"cell12" "2_1" 0.988988988988989 "2_1_2" 2 "1"
"cell13" "2_1" 0.987987987987988 "2_1_2" 2 "1"
"cell14" "2_1" 0.986986986986987 "2_1_2" 2 "1"
"cell15" "2_1" 0.985985985985986 "2_1_2" 2 "1"
"cell16" "2_1" 0.984984984984985 "2_1_2" 2 "1"
"cell17" "2_1" 0.983983983983984 "2_1_2" 2 "1"
"cell18" "2_1" 0.982982982982983 "2_1_2" 2 "1"
"cell19" "2_1" 0.981981981981982 "2_1_2" 2 "1"
"cell20" "2_1" 0.980980980980981 "2_1_2" 2 "1"
"cell21" "2_1" 0.97997997997998 "2_1_2" 2 "1"
"cell22" "2_1" 0.978978978978979 "2_1_2" 2 "1"
"cell23" "2_1" 0.977977977977978 "2_1_2" 2 "1"
"cell24" "2_1" 0.976976976976977 "2_1_2" 2 "1"
"cell25" "2_1" 0.975975975975976 "2_1_2" 2 "1"
"cell26" "2_1" 0.974974974974975 "2_1_2" 2 "1"
"cell27" "2_1" 0.973973973973974 "2_1_2" 2 "1"
"cell28" "2_1" 0.972972972972973 "2_1_2" 2 "1"
"cell29" "2_1" 0.971971971971972 "2_1_2" 2 "1"
"cell30" "2_1" 0.970970970970971 "2_1_2" 2 "1"
"cell31" "2_1" 0.96996996996997 "2_1_2" 2 "1"
"cell32" "2_1" 0.968968968968969 "2_1_2" 2 "1"
"cell33" "2_1" 0.967967967967968 "2_1_2" 2 "1"
"cell34" "2_1" 0.966966966966967 "2_1_2" 2 "1"
"cell35" "2_1" 0.965965965965966 "2_1_2" 2 "1"
"cell36" "2_1" 0.964964964964965 "2_1_2" 2 "1"
"cell37" "2_1" 0.963963963963964 "2_1_2" 2 "1"
"cell38" "2_1" 0.962962962962963 "2_1_2" 2 "1"
"cell39" "2_1" 0.961961961961962 "2_1_2" 2 "1"
"cell40" "2_1" 0.960960960960961 "2_1_2" 2 "1"
"cell41" "2_1" 0.95995995995996 "2_1_2" 2 "1"
"cell42" "2_1" 0.958958958958959 "2_1_2" 2 "1"
"cell43" "2_1" 0.957957957957958 "2_1_2" 2 "1"
"cell44" "2_1" 0.956956956956957 "2_1_2" 2 "1"
"cell45" "2_1" 0.955955955955956 "2_1_2" 2 "1"
"cell46" "2_1" 0.954954954954955 "2_1_2" 2 "1"
"cell47" "2_1" 0.953953953953954 "2_1_2" 2 "1"
"cell48" "2_1" 0.952952952952953 "2_1_2" 2 "1"
"cell49" "2_1" 0.951951951951952 "2_1_2" 2 "1"
"cell50" "2_1" 0.950950950950951 "2_1_2" 2 "1"
"cell51" "2_1" 0.94994994994995 "2_1_2" 2 "1"
"cell52" "2_1" 0.948948948948949 "2_1_2" 2 "1"
"cell53" "2_1" 0.947947947947948 "2_1_2" 2 "1"
"cell54" "2_1" 0.946946946946947 "2_1_2" 2 "1"
"cell55" "2_1" 0.945945945945946 "2_1_2" 2 "1"
"cell56" "2_1" 0.944944944944945 "2_1_2" 2 "1"
